video_title,video_description,video_url,youtube_id,num_comments,noun_phrases,noun_phrases(desc),view_count
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"In this journal club episode, my guest is Stanford and Johns Hopkins-trained physician, Dr. Peter Attia, M.D., who is also the host of The Drive podcast and the author of the bestselling book “Outlive: The Science & Art of Longevity.” We each present a scientific paper and discuss the findings’ strengths, weaknesses and actionable takeaways. First, we discuss an article that addresses whether taking the drug metformin can enhance longevity. Then, we discuss an article on belief effects (similar to placebo effects), showing how the effects of a drug on the brain and cognition depend on one’s belief about the dose of the drug taken, not the actual dose. Our conversation also highlights how to read, interpret and critique scientific studies. This episode ought to be of interest to those curious about health and longevity, medicine and psychology and for anyone seeking to better understand how to read and digest scientific findings.",https://hubermanlab.com/journal-club-with-dr-peter-attia-metformin-for-longevity-and-the-power-of-belief-effects/,z8c6EyMNd0A,318,"['Journal Club', 'Longevity', 'The Power', 'Belief Effects', 'Journal Club']","['this journal club episode', 'my guest', 'Stanford and Johns Hopkins-trained physician', 'M.D.', 'who', 'the host', 'The Drive podcast', 'the author', 'the bestselling book', 'The Science', 'Art', 'Longevity', 'We', 'each', 'a scientific paper', 'the findings’ strengths', 'weaknesses', 'actionable takeaways', 'we', 'an article', 'that', 'the drug metformin', 'longevity', 'we', 'an article', 'belief effects', 'placebo effects', 'the effects', 'a drug', 'the brain', 'cognition', 'one’s belief', 'the dose', 'the drug', 'not the actual dose', 'Our conversation', 'scientific studies', 'This episode', 'interest', 'those', 'health', 'longevity', 'medicine', 'psychology', 'anyone', 'scientific findings', 'journal club episode', 'guest is Stanford', 'Johns Hopkins-trained physician', 'Drive podcast', 'bestselling book “ Outlive', 'Longevity. ”', 'findings ’ strengths', 'drug metformin', 'enhance longevity', 'belief effects', 'placebo effects', '’ s belief']","190,546"
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,"This is episode 1 of a 4-part special series on mental health with psychiatrist Dr. Paul Conti, M.D., who trained at Stanford School of Medicine and completed his residency at Harvard Medical School before founding his clinical practice, the Pacific Premier Group. Dr. Conti defines mental health in actionable terms and describes the foundational elements of the self, including the structure and function of the unconscious and conscious mind, which give rise to all our thoughts, behaviors and emotions. He also explains how to explore and address the root causes of anxiety, low confidence, negative internal narratives, over-thinking and how our unconscious defense mechanisms operate. This episode provides a foundational roadmap to assess your sense of self and mental health. It offers tools to reshape negative emotions, thought patterns and behaviors — either through self-exploration or with a licensed professional. The subsequent three episodes in this special series explore additional tools to further understand and improve your mental health.",https://hubermanlab.com/guest-series-dr-paul-conti-how-to-understand-and-assess-your-mental-health/,tLRCS48Ens4,946,"['Understand', 'Assess', 'Your Mental Health']","['This', 'episode', 'a 4-part special series', 'mental health', 'psychiatrist', 'M.D.', 'who', 'Stanford School', 'Medicine', 'his residency', 'Harvard Medical School', 'his clinical practice', 'the Pacific Premier Group', 'mental health', 'actionable terms', 'the foundational elements', 'the self', 'the structure', 'function', 'the unconscious and conscious mind', 'which', 'rise', 'all our thoughts', 'behaviors', 'emotions', 'He', 'the root causes', 'anxiety', 'low confidence', 'negative internal narratives', 'over-thinking', 'our unconscious defense mechanisms', 'This episode', 'a foundational roadmap', 'your sense', 'self and mental health', 'It', 'tools', 'negative emotions', 'patterns', 'behaviors', 'self-exploration', 'a licensed professional', 'The subsequent three episodes', 'this special series', 'additional tools', 'your mental health', 'Stanford School', 'Harvard Medical School', 'Pacific Premier Group', 'give rise', 'root causes', 'defense mechanisms operate', 'offers tools', 'thought patterns']","1,623,691"
"Marc Andreessen: How Risk Taking, Innovation & Artificial Intelligence Transform Human Experience","In this episode, my guest is Marc Andreessen, the legendary software innovator who co-created the internet browser Mosaic, co-founded Netscape, and is now at Andreessen Horowitz — a venture capital firm that finds and brings to life technologies that transform humanity. We discuss what it takes to be a true innovator, including the personality traits required, the role of environment and the support systems needed to bring revolutionary ideas to fruition. We discuss risk-taking as a necessary but potentially hazardous trait, as well as the role of intrinsic motivation and one’s ability to navigate uncertainty. We also discuss artificial intelligence (AI) and Marc’s stance that soon everyone will use AI as their personalized coach and guide for making decisions about their health, relationships, finances and more — all of which he believes will greatly enhance our quality of life. We also delve into nuclear power, gene editing, public trust, universities, politics, and AI regulation. This episode is for those interested in the innovative mind, psychology, human behavior, technology, culture and politics.",https://hubermanlab.com/marc-andreessen-how-risk-taking-innovation-and-artificial-intelligence-transform-human-experience/,yixIc1Ai6jM,262,"['How Risk Taking', 'Innovation', 'Artificial Intelligence Transform', 'Human Experience', 'Risk Taking']","['this episode', 'my guest', 'the legendary software innovator', 'who', '-founded Netscape', 'a venture capital firm', 'that', 'life technologies', 'that', 'humanity', 'We', 'what', 'it', 'a true innovator', 'the personality traits', 'the role', 'environment', 'the support systems', 'revolutionary ideas', 'fruition', 'We', 'risk-taking', 'a necessary but potentially hazardous trait', 'the role', 'intrinsic motivation', 'one’s ability', 'uncertainty', 'We', 'artificial intelligence', 'AI', 'everyone', 'AI', 'their personalized coach', 'decisions', 'their health', 'relationships', 'finances', 'all', 'which', 'he', 'our quality', 'life', 'We', 'nuclear power', 'gene editing', 'public trust', 'universities', 'politics', 'AI regulation', 'This episode', 'those', 'the innovative mind', 'psychology', 'human behavior', 'technology', 'culture', 'politics', 'software innovator', 'venture capital firm', 'life technologies', 'transform humanity', 'personality traits', 'support systems', '’ s ability', 'navigate uncertainty', 'Marc ’ s stance', 'use AI', 'making decisions', 'gene editing', 'AI regulation']","125,192"
Goals Toolkit: How to Set & Achieve Your Goals,"In this episode, I describe science-based protocols to set and achieve your goals in a way that maximizes the likelihood of reaching them. I explain how to define a priority and reach a specific goal by systematically assessing the challenge level, measurability, milestones, and action states needed to make progress from start to finish. I also explain research-supported tools to improve your performance during cognitive or physical goal work — including directed visualization, variable reward timing, and optimizing your physical environment. I also dispel common myths about goal setting and achievement. This episode provides a science-supported toolkit of zero-cost strategies for goal-setting, goal-pursuit, and goal-completion that can be applied to any physical or cognitive endeavor.",https://hubermanlab.com/goal-toolkit-how-to-set-and-achieve-your-goals/,CrtR12PBKb0,539,"['Goals Toolkit', 'Set', 'Your Goals', 'Goals Toolkit']","['this episode', 'I', 'science-based protocols', 'your goals', 'a way', 'that', 'the likelihood', 'them', 'I', 'a priority', 'a specific goal', 'the challenge level', 'measurability', 'milestones', 'action states', 'progress', 'start', 'finish', 'I', 'research-supported tools', 'your performance', 'cognitive or physical goal work', 'directed visualization', 'variable reward timing', 'your physical environment', 'I', 'common myths', 'goal setting', 'achievement', 'This episode', 'a science-supported toolkit', 'zero-cost strategies', 'goal-pursuit', 'goal-completion', 'that', 'any physical or cognitive endeavor', 'challenge level', 'action states', 'make progress', 'goal work', 'including directed visualization', 'reward timing', 'goal setting', 'zero-cost strategies']","464,095"
"Dr. David Linden: Life, Death & the Neuroscience of Your Unique Experience","In this episode, my guest is Dr. David Linden, Ph.D., professor of neuroscience at Johns Hopkins University School of Medicine and the author of many popular books about the brain. We discuss individual differences between people — focusing on differences in how people sense the world around them and the roles that chance, heredity, and life experiences (even in utero) play in determining our physical and cognitive traits. We discuss the bidirectional connection between the mind and body and how our thoughts and mental practices (e.g., meditation and breathwork) impact our health. We also discuss the link between inflammation and depression. We also discuss Dr. Linden’s terminal illness diagnosis, his mindset during chemotherapy and what his diagnosis has taught him about the mind, gratitude, time perception and life. This episode also covers sensual touch, cerebellar function, and epigenetic inheritance and ought to be of interest to all interested in neuroscience, genetics, psychology and human development.",https://hubermanlab.com/dr-david-linden-life-death-and-the-neuroscience-of-your-unique-experience/,29n0WG317tM,497,"['Life', 'Death', 'the Neuroscience', 'Your Unique Experience']","['this episode', 'my guest', 'Ph.D.', 'professor', 'neuroscience', 'Johns Hopkins University School', 'Medicine', 'the author', 'many popular books', 'the brain', 'We', 'individual differences', 'people', 'differences', 'people', 'the world', 'them', 'the roles', 'that', 'utero', 'our physical and cognitive traits', 'We', 'the bidirectional connection', 'the mind', 'body', 'our thoughts', 'mental practices', 'our health', 'We', 'the link', 'inflammation', 'depression', 'We', 'his mindset', 'chemotherapy', 'what', 'his diagnosis', 'him', 'the mind', 'gratitude', 'time perception', 'life', 'This episode', 'sensual touch', 'cerebellar function', 'epigenetic inheritance', 'interest', 'neuroscience', 'genetics', 'psychology', 'human development', 'Johns Hopkins University School', 'people —', 'life experiences', 'illness diagnosis', 'time perception']","259,554"
Dr. Rena Malik: Improving Sexual & Urological Health in Males and Females,"In this episode, my guest is Dr. Rena Malik, M.D., a board-certified urologist and pelvic surgeon, male and female pelvic medicine expert, and public health educator. We discuss the major causes of and treatments for sexual and urologic dysfunction, including how to restore, maintain and enhance pelvic floor function and proper neural and vascular (blood) supply to the genitals. We also discuss what controls and can enhance desire and arousal, how to assess and treat erectile dysfunction, and challenges with vaginal lubrication and/or orgasm. We also discuss vaginal and penile health, including preventing urinary tract infections (UTIs) and which common prescription drugs can cause sexual dysfunction in males and females. This episode covers a range of topics: oral contraception, masturbation, pornography, prostate health, and male and female hormone health. Note: This episode covers topics related to sexual and reproductive health. Some content might not be suitable for all audiences and ages. Huberman Lab Survey We value your honest feedback and would like to hear from you so that we can continue to improve Huberman Lab. As a thank you for completing our survey, we’re offering 2 months free of Huberman Lab Premium. Take Survey →",https://hubermanlab.com/dr-rena-improving-sexual-and-urological-health-in-males-and-females/,F54qXuTpgfM,822,"['Sexual', 'Urological', 'Health', 'Males', 'Females', 'Improving Sexual', 'Urological Health']","['this episode', 'my guest', 'M.D.', 'a board-certified urologist and pelvic surgeon', 'male and female pelvic medicine expert', 'public health educator', 'We', 'the major causes', 'treatments', 'sexual and urologic dysfunction', 'pelvic floor function', 'proper neural and vascular (blood) supply', 'the genitals', 'We', 'what controls', 'arousal', 'erectile dysfunction', 'challenges', 'vaginal lubrication', 'orgasm', 'We', 'vaginal and penile health', 'urinary tract infections', 'UTIs', 'which common prescription drugs', 'sexual dysfunction', 'males', 'females', 'This episode', 'a range', 'topics', 'oral contraception', 'masturbation', 'pornography', 'prostate health', 'male and female hormone health', 'Note', 'This episode', 'topics', 'sexual and reproductive health', 'Some content', 'all audiences', 'ages', 'We', 'your honest feedback', 'you', 'we', 'Huberman Lab', 'you', 'our survey', 'we', 'Huberman Lab Premium', 'Survey', 'medicine expert', 'health educator', 'floor function', 'enhance desire', 'lubrication and/or orgasm', 'tract infections', 'prescription drugs', 'prostate health', 'hormone health', 'episode covers topics', 'Huberman Lab Survey', 'Huberman Lab Premium', 'Take Survey']","911,712"
"Ketamine: Benefits and Risks for Depression, PTSD & Neuroplasticity","In this episode, I explain how ketamine causes rewiring of brain circuits and dissociative states to relieve symptoms of depression and post-traumatic stress disorder (PTSD). I explain how ketamine impacts both the brain’s glutamate and its endogenous opioid pathways, which together regulate mood and well-being. I discuss how ketamine therapy is used clinically to treat major depression, bipolar depression, obsessive-compulsive disorder (OCD), suicidality and other psychiatric challenges. I also describe how ketamine causes the subjective effects of dissociation and euphoria and, at higher doses, is an anesthetic. I compare the different routes of ketamine administration, dosages and forms of ketamine, and if micro-dosing ketamine is effective. I also highlight the potential risks of recreational ketamine use (and the colloquial term ‘K-holes’). This episode should interest anyone interested in ketamine, treatments for depression, neuroplasticity mechanisms, psychiatry and mental health.",https://hubermanlab.com/ketamine-benefits-and-risks-for-depression-ptsd-and-neuroplasticity/,Rxmv7rT9leo,395,"['Benefits', 'Risks', 'Depression', 'PTSD', 'Neuroplasticity']","['this episode', 'I', 'ketamine', 'brain circuits', 'dissociative states', 'symptoms', 'depression', 'post-traumatic stress disorder', 'PTSD', 'I', 'how ketamine impacts', 'both the brain’s glutamate', 'its endogenous opioid pathways', 'which', 'mood', 'well-being', 'I', 'major depression', 'bipolar depression', 'obsessive-compulsive disorder', 'OCD', 'suicidality', 'other psychiatric challenges', 'I', 'ketamine', 'the subjective effects', 'dissociation', 'euphoria', 'higher doses', 'an anesthetic', 'I', 'the different routes', 'dosages', 'forms', 'ketamine', 'micro-dosing ketamine', 'I', 'the potential risks', 'recreational ketamine use', 'the colloquial term', 'K-holes', 'This episode', 'anyone', 'ketamine', ', treatments', 'depression', 'neuroplasticity mechanisms', 'psychiatry', 'mental health', 'causes rewiring', 'brain circuits', 'relieve symptoms', 'stress disorder', 'brain ’ s glutamate', 'opioid pathways', 'regulate mood', 'term ‘ K-holes ’', 'interest anyone', 'neuroplasticity mechanisms']","177,309"
"Tony Hawk: Harnessing Passion, Drive & Persistence for Lifelong Success","In this episode, my guest is Tony Hawk, the legendary and pioneering professional skateboarder, video game and skateboard industry entrepreneur, and founder of the Skatepark Project, whose philanthropic mission is to help underserved communities create safe and inclusive public skateparks for all youth. We discuss his career, how he helped popularize and evolve the sport of skateboarding, and his role as an ambassador for skateboard culture. We also discuss where he derives his intrinsic drive, how he sets and evolves goals and how he has made remarkable and continual progress throughout his career. We also discuss Tony’s ability to overcome what would otherwise be career-ending injuries. For anyone seeking to find or pursue their passion and make lifelong progress while serving the larger world, this episode with Tony Hawk ought to be of deep interest.",https://hubermanlab.com/tony-hawk-harnessing-passion-drive-and-persistence-for-lifelong-success/,VOfwbcveP84,421,"['Harnessing Passion', 'Drive', 'Persistence', 'Harnessing Passion']","['this episode', 'my guest', 'the legendary and pioneering professional skateboarder, video game', 'skateboard industry entrepreneur', 'founder', 'the Skatepark Project', 'whose philanthropic mission', 'underserved communities', 'safe and inclusive public skateparks', 'all youth', 'We', 'his career', 'he', 'the sport', 'his role', 'an ambassador', 'skateboard culture', 'We', 'he', 'his intrinsic drive', 'he', 'goals', 'he', 'remarkable and continual progress', 'his career', 'We', 'what', 'career-ending injuries', 'anyone', 'their passion', 'lifelong progress', 'the larger world', 'this episode', 'deep interest', 'skateboard industry entrepreneur', 'Skatepark Project', 'evolves goals']","184,292"
Dr. Maya Shankar: How to Shape Your Identity & Goals,"In this episode, my guest is Maya Shankar, Ph.D., a cognitive scientist, former senior advisor to the White House and Chair of the White House Social and Behavioral Sciences Team. She is the creator and host of the podcast, A Slight Change of Plans. We discuss how our identities develop and change, how our beliefs and internal narratives shape our perception of self, and how to use structured introspection about our values to determine our goals. We discuss how to cope and grow through uncertain situations, especially those that force us to reexamine our roles and identity. Dr. Shankar shares her experience of redefining her identity after an early career-ending setback. She also explains numerous science-based strategies to effectively define goals, structure our goal pursuits and maintain consistent motivation. This episode provides a science-supported toolkit and roadmap to assess your identity and goals and positively transform in the face of change.",https://hubermanlab.com/dr-maya-shankar-how-to-shape-your-identity-and-goals/,X8Hw8zeCDTA,704,"['Your Identity', 'Goals', 'Shape Your Identity']","['this episode', 'my guest', 'Ph.D.', 'a cognitive scientist', 'former senior advisor', 'the White House', 'Chair', 'the White House Social and Behavioral Sciences Team', 'She', 'the creator', 'host', 'the podcast', 'A Slight Change', 'Plans', 'We', 'our identities', 'our beliefs', 'internal narratives', 'our perception', 'self', 'structured introspection', 'our values', 'our goals', 'We', 'uncertain situations', 'especially those', 'that', 'us', 'our roles', 'identity', 'her experience', 'her identity', 'an early career-ending setback', 'She', 'numerous science-based strategies', 'goals', 'our goal pursuits', 'consistent motivation', 'This episode', 'a science-supported toolkit', 'roadmap', 'your identity', 'goals', 'the face', 'change', 'White House', 'White House Social', 'A Slight Change', 'goal pursuits']","726,625"
How to Enhance Performance & Learning by Applying a Growth Mindset,"In this episode, I discuss how to build and apply a growth mindset — the practice of self-rewarding and focusing on learning and skill development through effort — to improve learning and performance. I also discuss how our internal narratives drive our ability to make progress. I contrast the growth mindset vs. the fixed mindset and describe how the type of feedback or praise we receive shapes our mindsets, and the huge advantage of rewarding and celebrating “verbs” (actions) rather than adjectives (performance labels). I also discuss data showing how stress can enhance performance and explain why the growth mindset works synergistically with the “stress-is-enhancing mindset,” and how to combine them. Whether you are a student, coach, therapist, parent, teacher or simply someone seeking to improve at something, this episode provides numerous science-supported tools for how to adopt a performance enhancing mindset.",https://hubermanlab.com/how-to-enhance-performance-and-learning-by-applying-a-growth-mindset/,aQDOU3hPci0,958,"['Performance', 'Learning', 'a Growth Mindset', 'Enhance Performance']","['this episode', 'I', 'a growth mindset', 'the practice', 'learning', 'skill development', 'effort', 'learning', 'performance', 'I', 'our internal narratives', 'our ability', 'progress', 'I', 'the growth mindset', 'the fixed mindset', 'how the type', 'feedback', 'praise', 'we', 'shapes', 'our mindsets', 'the huge advantage', '“verbs', 'actions', 'adjectives', 'performance labels', 'I', 'data', 'stress', 'performance', 'the growth mindset', 'the “stress-is-enhancing mindset', 'them', 'you', 'a student', 'coach', 'therapist', 'parent', 'teacher', 'simply someone', 'something', 'this episode', 'numerous science-supported tools', 'a performance', 'mindset', 'growth mindset', 'skill development', 'effort —', 'improve learning', 'make progress', 'growth mindset receive shapes', 'performance labels', 'discuss data', 'enhance performance', 'growth mindset performance enhancing mindset']","844,463"
