source,target,similarity_score
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,0.22781128413378043
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Marc Andreessen: How Risk Taking, Innovation & Artificial Intelligence Transform Human Experience",0.22321600174472062
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Goals Toolkit: How to Set & Achieve Your Goals,0.08617925960672741
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. David Linden: Life, Death & the Neuroscience of Your Unique Experience",0.41066890258915445
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Rena Malik: Improving Sexual & Urological Health in Males and Females,0.14475217806155283
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Ketamine: Benefits and Risks for Depression, PTSD & Neuroplasticity",0.18712826828490675
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Tony Hawk: Harnessing Passion, Drive & Persistence for Lifelong Success",0.2077033182450136
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Maya Shankar: How to Shape Your Identity & Goals,0.22175426054886696
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,How to Enhance Performance & Learning by Applying a Growth Mindset,0.17938799105104541
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Robert Malenka: How Your Brain’s Reward Circuits Drive Your Choices,0.16759957039176754
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Science-Supported Tools to Accelerate Your Fitness Goals,0.1224678083505753
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Jeffrey Goldberg: How to Improve Your Eye Health & Offset Vision Loss,0.1588851723218414
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Tim Ferriss: How to Learn Better & Create Your Best Future,0.2424355774242018
